time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-08 00:00:00+00:00,277,81,623,280
2026-07-09 00:00:00+00:00,307,82,590,224
2026-07-10 00:00:00+00:00,228,66,530,196
2026-07-11 00:00:00+00:00,226,65,567,218
2026-07-12 00:00:00+00:00,423,83,633,267
2026-07-13 00:00:00+00:00,342,94,478,191
2026-07-14 00:00:00+00:00,433,112,546,207
2026-07-15 00:00:00+00:00,354,80,436,202
2026-07-16 00:00:00+00:00,715,105,357,150
2026-07-17 00:00:00+00:00,421,100,533,178
2026-07-18 00:00:00+00:00,329,95,477,176
2026-07-19 00:00:00+00:00,626,85,495,200
2026-07-20 00:00:00+00:00,327,96,597,250
2026-07-21 00:00:00+00:00,322,104,425,197
