time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-24 00:00:00+00:00,719,67,1141,287
2026-03-25 00:00:00+00:00,521,105,999,205
2026-03-26 00:00:00+00:00,767,143,931,198
2026-03-27 00:00:00+00:00,477,99,812,194
2026-03-28 00:00:00+00:00,206,75,663,158
2026-03-29 00:00:00+00:00,81,53,530,138
2026-03-30 00:00:00+00:00,143,39,850,262
2026-03-31 00:00:00+00:00,188,56,866,253
2026-04-01 00:00:00+00:00,264,51,742,211
2026-04-02 00:00:00+00:00,304,72,901,221
2026-04-03 00:00:00+00:00,129,50,709,190
2026-04-04 00:00:00+00:00,402,70,707,152
2026-04-05 00:00:00+00:00,134,37,692,139
2026-04-06 00:00:00+00:00,189,58,596,152
2026-04-07 00:00:00+00:00,536,78,761,194
2026-04-08 00:00:00+00:00,526,69,1119,299
2026-04-09 00:00:00+00:00,503,54,872,180
2026-04-10 00:00:00+00:00,723,113,992,183
2026-04-11 00:00:00+00:00,244,68,865,153
2026-04-12 00:00:00+00:00,392,104,659,145
